snapshot_at,market_id,polymarket_question,currency,option_type,target_price_from_question,end_date_iso,liquidity_usd,outcomePrices_0_scaled,outcomePrices_0_raw
2026-06-03T15:32:52.327744+00:00,2370553,"Will the price of Bitcoin be between $66,000 and $68,000 on June 3?",BTC,C,66000.0,2026-06-03T00:00:00+00:00,11081.30003,86.95,0.8695
2026-06-03T15:32:52.327744+00:00,2370564,"Will the price of Bitcoin be between $74,000 and $76,000 on June 3?",BTC,C,74000.0,2026-06-03T00:00:00+00:00,128925.17308,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370575,"Will the price of Bitcoin be between $78,000 and $80,000 on June 3?",BTC,C,78000.0,2026-06-03T00:00:00+00:00,142434.90666,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370590,"Will the price of Bitcoin be greater than $84,000 on June 3?",BTC,C,84000.0,2026-06-03T00:00:00+00:00,153888.68277,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370551,"Will the price of Bitcoin be less than $66,000 on June 3?",BTC,C,66000.0,2026-06-03T00:00:00+00:00,7415.55485,12.75,0.1275
2026-06-03T15:32:52.327744+00:00,2370555,"Will the price of Bitcoin be between $68,000 and $70,000 on June 3?",BTC,C,68000.0,2026-06-03T00:00:00+00:00,6576.16447,0.3,0.003
2026-06-03T15:32:52.327744+00:00,2370557,"Will the price of Bitcoin be between $70,000 and $72,000 on June 3?",BTC,C,70000.0,2026-06-03T00:00:00+00:00,195372.06253,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370560,"Will the price of Bitcoin be between $72,000 and $74,000 on June 3?",BTC,C,72000.0,2026-06-03T00:00:00+00:00,121998.29602,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370570,"Will the price of Bitcoin be between $76,000 and $78,000 on June 3?",BTC,C,76000.0,2026-06-03T00:00:00+00:00,144227.92947,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370580,"Will the price of Bitcoin be between $80,000 and $82,000 on June 3?",BTC,C,80000.0,2026-06-03T00:00:00+00:00,139279.0199,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370585,"Will the price of Bitcoin be between $82,000 and $84,000 on June 3?",BTC,C,82000.0,2026-06-03T00:00:00+00:00,152122.76341,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2379364,"Will the price of Bitcoin be between $68,000 and $70,000 on June 4?",BTC,C,68000.0,2026-06-04T00:00:00+00:00,8568.50008,17.25,0.1725
2026-06-03T15:32:52.327744+00:00,2379358,"Will the price of Bitcoin be less than $64,000 on June 4?",BTC,C,64000.0,2026-06-04T00:00:00+00:00,9657.93361,7.6499999999999995,0.0765
2026-06-03T15:32:52.327744+00:00,2379360,"Will the price of Bitcoin be between $64,000 and $66,000 on June 4?",BTC,C,64000.0,2026-06-04T00:00:00+00:00,8010.57434,32.05,0.3205
2026-06-03T15:32:52.327744+00:00,2379362,"Will the price of Bitcoin be between $66,000 and $68,000 on June 4?",BTC,C,66000.0,2026-06-04T00:00:00+00:00,5702.04219,42.05,0.4205
2026-06-03T15:32:52.327744+00:00,2379367,"Will the price of Bitcoin be between $70,000 and $72,000 on June 4?",BTC,C,70000.0,2026-06-04T00:00:00+00:00,9597.41242,2.5,0.025
2026-06-03T15:32:52.327744+00:00,2379371,"Will the price of Bitcoin be between $72,000 and $74,000 on June 4?",BTC,C,72000.0,2026-06-04T00:00:00+00:00,9920.24282,0.8,0.008
2026-06-03T15:32:52.327744+00:00,2379381,"Will the price of Bitcoin be between $76,000 and $78,000 on June 4?",BTC,C,76000.0,2026-06-04T00:00:00+00:00,10096.46769,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2379392,"Will the price of Bitcoin be between $80,000 and $82,000 on June 4?",BTC,C,80000.0,2026-06-04T00:00:00+00:00,24476.12174,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2379376,"Will the price of Bitcoin be between $74,000 and $76,000 on June 4?",BTC,C,74000.0,2026-06-04T00:00:00+00:00,20238.76443,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2379388,"Will the price of Bitcoin be between $78,000 and $80,000 on June 4?",BTC,C,78000.0,2026-06-04T00:00:00+00:00,26193.16419,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2379396,"Will the price of Bitcoin be greater than $82,000 on June 4?",BTC,C,82000.0,2026-06-04T00:00:00+00:00,24983.59664,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370659,"Will the price of Ethereum be less than $1,600 on June 3?",ETH,C,1600.0,2026-06-03T00:00:00+00:00,21855.40519,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370668,"Will the price of Ethereum be between $1,700 and $1,800 on June 3?",ETH,C,1700.0,2026-06-03T00:00:00+00:00,457.25828,0.95,0.0095
2026-06-03T15:32:52.327744+00:00,2370680,"Will the price of Ethereum be between $2,100 and $2,200 on June 3?",ETH,C,2100.0,2026-06-03T00:00:00+00:00,32274.52361,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370682,"Will the price of Ethereum be between $2,200 and $2,300 on June 3?",ETH,C,2200.0,2026-06-03T00:00:00+00:00,23195.50958,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370684,"Will the price of Ethereum be between $2,300 and $2,400 on June 3?",ETH,C,2300.0,2026-06-03T00:00:00+00:00,4808.58338,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370691,"Will the price of Ethereum be greater than $2,500 on June 3?",ETH,C,2500.0,2026-06-03T00:00:00+00:00,8607.30488,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370664,"Will the price of Ethereum be between $1,600 and $1,700 on June 3?",ETH,C,1600.0,2026-06-03T00:00:00+00:00,21432.25241,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370670,"Will the price of Ethereum be between $1,800 and $1,900 on June 3?",ETH,C,1800.0,2026-06-03T00:00:00+00:00,4609.68925,97.95,0.9795
2026-06-03T15:32:52.327744+00:00,2370672,"Will the price of Ethereum be between $1,900 and $2,000 on June 3?",ETH,C,1900.0,2026-06-03T00:00:00+00:00,162.21272,0.5,0.005
2026-06-03T15:32:52.327744+00:00,2370676,"Will the price of Ethereum be between $2,000 and $2,100 on June 3?",ETH,C,2000.0,2026-06-03T00:00:00+00:00,22546.09167,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2370687,"Will the price of Ethereum be between $2,400 and $2,500 on June 3?",ETH,C,2400.0,2026-06-03T00:00:00+00:00,15877.66361,0.05,0.0005
2026-06-03T15:32:52.327744+00:00,2379487,"Will the price of Ethereum be between $1,800 and $1,900 on June 4?",ETH,C,1800.0,2026-06-04T00:00:00+00:00,550.6997,59.0,0.59
2026-06-03T15:32:52.327744+00:00,2379501,"Will the price of Ethereum be between $2,100 and $2,200 on June 4?",ETH,C,2100.0,2026-06-04T00:00:00+00:00,5200.31123,0.75,0.0075
2026-06-03T15:32:52.327744+00:00,2379503,"Will the price of Ethereum be between $2,200 and $2,300 on June 4?",ETH,C,2200.0,2026-06-04T00:00:00+00:00,1749.09787,0.15,0.0015
2026-06-03T15:32:52.327744+00:00,2379470,"Will the price of Ethereum be less than $1,500 on June 4?",ETH,C,1500.0,2026-06-04T00:00:00+00:00,2705.15993,0.1,0.001
2026-06-03T15:32:52.327744+00:00,2379471,"Will the price of Ethereum be between $1,500 and $1,600 on June 4?",ETH,C,1500.0,2026-06-04T00:00:00+00:00,711.60929,0.4,0.004
2026-06-03T15:32:52.327744+00:00,2379478,"Will the price of Ethereum be between $1,600 and $1,700 on June 4?",ETH,C,1600.0,2026-06-04T00:00:00+00:00,49.28579,1.6,0.016
2026-06-03T15:32:52.327744+00:00,2379509,"Will the price of Ethereum be between $2,300 and $2,400 on June 4?",ETH,C,2300.0,2026-06-04T00:00:00+00:00,11394.36917,0.1,0.001
2026-06-03T15:32:52.327744+00:00,2379513,"Will the price of Ethereum be greater than $2,400 on June 4?",ETH,C,2400.0,2026-06-04T00:00:00+00:00,13275.15618,0.1,0.001
2026-06-03T15:32:52.327744+00:00,2379484,"Will the price of Ethereum be between $1,700 and $1,800 on June 4?",ETH,C,1700.0,2026-06-04T00:00:00+00:00,135.22011,17.299999999999997,0.173
2026-06-03T15:32:52.327744+00:00,2379491,"Will the price of Ethereum be between $1,900 and $2,000 on June 4?",ETH,C,1900.0,2026-06-04T00:00:00+00:00,166.836,22.0,0.22
2026-06-03T15:32:52.327744+00:00,2379496,"Will the price of Ethereum be between $2,000 and $2,100 on June 4?",ETH,C,2000.0,2026-06-04T00:00:00+00:00,763.74531,7.1499999999999995,0.0715
